Feature,Importance
Destination Port,0.25914371234015077
Fwd Packet Length Max,0.05079982199031958
Init_Win_bytes_backward,0.04716673630411512
Average Packet Size,0.044767469564735964
Packet Length Std,0.03760802616632786
Bwd Header Length,0.03317132593092462
Init_Win_bytes_forward,0.029288928171653524
Packet Length Variance,0.02899929033630728
Packet Length Mean,0.02430997776512982
Fwd Packet Length Std,0.02385251009912548
Total Length of Fwd Packets,0.02175935211665865
Max Packet Length,0.020525306658209588
Fwd Packet Length Mean,0.019225274635703837
Total Backward Packets,0.018746227938558572
Subflow Bwd Packets,0.017443565024598102
Subflow Fwd Bytes,0.016853996853092683
Bwd Packets/s,0.01621395325421036
Bwd Packet Length Max,0.016211387715171548
Fwd PSH Flags,0.015753571458849574
Bwd IAT Max,0.015596884099594584
